old_path,new_path
paper_prep/pi_decisive_packet_20260709/DECISIVE_PACKET_ADMIN.csv,paper_prep/rater_admin_keys_20260711/t1_decisive/DECISIVE_PACKET_ADMIN.csv
paper_prep/pi_decisive_packet_20260709/DECISIVE_BRANCH_REPORT.md,paper_prep/rater_admin_keys_20260711/t1_decisive/DECISIVE_BRANCH_REPORT.md
paper_prep/pi_decisive_packet_20260709/score_decisive_packet.py,paper_prep/rater_admin_keys_20260711/t1_decisive/score_decisive_packet.py
paper_prep/validation_A_prime/primary_package_20260709/A_PRIME_PRIMARY_ADMIN.csv,paper_prep/rater_admin_keys_20260711/t2_aprime/A_PRIME_PRIMARY_ADMIN.csv
paper_prep/validation_A_prime/A_PRIME_HUMAN_GATE_REPORT_20260709.md,paper_prep/rater_admin_keys_20260711/t2_aprime/A_PRIME_HUMAN_GATE_REPORT_20260709.md
paper_prep/validation_A_prime/score_human_A_prime.py,paper_prep/rater_admin_keys_20260711/t2_aprime/score_human_A_prime.py
paper_prep/validation_B_prime/pi_package_20260709/B_PRIME_PAIR_ADMIN.csv,paper_prep/rater_admin_keys_20260711/t3_t4_bprime/B_PRIME_PAIR_ADMIN.csv
paper_prep/validation_B_prime/pi_package_20260709/B_PRIME_ORDERED_ADMIN.csv,paper_prep/rater_admin_keys_20260711/t3_t4_bprime/B_PRIME_ORDERED_ADMIN.csv
paper_prep/validation_B_prime/B_PRIME_HUMAN_GATE_REPORT_20260709.md,paper_prep/rater_admin_keys_20260711/t3_t4_bprime/B_PRIME_HUMAN_GATE_REPORT_20260709.md
paper_prep/validation_B_prime/score_human_B_prime.py,paper_prep/rater_admin_keys_20260711/t3_t4_bprime/score_human_B_prime.py
paper_prep/sao/stable_audio_3_medium/label_calibration/SA3_LABEL_CALIBRATION_ADMIN.csv,paper_prep/rater_admin_keys_20260711/t5_sa3_calibration/SA3_LABEL_CALIBRATION_ADMIN.csv
paper_prep/sao/stable_audio_3_medium/label_calibration/SA3_LABEL_CALIBRATION_REPORT.md,paper_prep/rater_admin_keys_20260711/t5_sa3_calibration/SA3_LABEL_CALIBRATION_REPORT.md
paper_prep/sao/stable_audio_3_medium/score_sa3_label_calibration.py,paper_prep/rater_admin_keys_20260711/t5_sa3_calibration/score_sa3_label_calibration.py
