canonical_clip_id,record_id,prompt_id,candidate_index,candidate_seed,media_path,media_sha256,request_mode,requested_vocal,demucs_score,panns_score,promoted_present,score_to_threshold_ratio,source_family,eligibility_rule,prompt_representative,prompt_frame_count,inclusion_probability,sampling_rank,selected,topup_order
held_out_0131__cand06,af0801ea746b22f90fe9138b,held_out_0131,6,2026439706,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/paper_prep/w2_execution_20260712/spine_reconstruction_torch251_recovery/audio/held_out_0131/candidate_06_seed2026439706.wav,00d5375069b575aa510da5cbeb85bedd1ef74215a0f760d19512df7b0643fde9,instrumental,0,2.2003951016813517e-06,0.01514388620853424,0,0.34391241491825497,spine,instrumental_and_promoted_OR_score_ratio_below_0p5,1,149,0.2684563758389262,1,1,1
dev_0199__cand07,e493c72a1eb26e4b7e643c84,dev_0199,7,2026251707,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/paper_prep/w2_execution_20260712/spine_reconstruction_torch251_recovery/audio/dev_0199/candidate_07_seed2026251707.wav,aab66e41d134150fe611b80264e89137f71b35a61a25d324f58b62fb7c43d2b3,instrumental,0,1.1029344932467211e-05,0.011155616492033005,0,0.253340189885666,spine,instrumental_and_promoted_OR_score_ratio_below_0p5,1,149,0.2684563758389262,2,1,2
held_out_0083__cand06,1fb93483e2f165c5872d419f,held_out_0083,6,2026391706,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/paper_prep/w2_execution_20260712/spine_reconstruction_torch251_recovery/audio/held_out_0083/candidate_06_seed2026391706.wav,22d2378d451fc069e0b3e286d80aaa77e8c506ce875786f88aee8a8fc1ec31a1,instrumental,0,0.005749706644564867,0.012313897721469402,0,0.2796443557572684,spine,instrumental_and_promoted_OR_score_ratio_below_0p5,1,149,0.2684563758389262,3,1,3
dev_0140__cand04,3bc51ef825ae62bca851b62f,dev_0140,4,2026192704,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/paper_prep/w2_execution_20260712/spine_reconstruction_torch251_recovery/audio/dev_0140/candidate_04_seed2026192704.wav,485daab898a26a45692940f350139e0ad50176bc34e8b0c3d85fc1a50baadb62,instrumental,0,1.8356080317971646e-06,0.015484721399843693,0,0.3516526641593185,spine,instrumental_and_promoted_OR_score_ratio_below_0p5,1,149,0.2684563758389262,4,1,4
dev_0021__cand06,93c25d948c75832d32f0ab82,dev_0021,6,2026073706,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/paper_prep/w2_execution_20260712/spine_reconstruction_torch251_recovery/audio/dev_0021/candidate_06_seed2026073706.wav,102d23b60664cfe5193c44254d5fc31f55877c3234892832ff0a83af05523472,instrumental,0,4.618186721927486e-06,0.014070326462388039,0,0.31953224461242535,spine,instrumental_and_promoted_OR_score_ratio_below_0p5,1,149,0.2684563758389262,5,1,5
dev_0189__cand07,1e7e2a1eb4e57f53d9cf1963,dev_0189,7,2026241707,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/paper_prep/w2_execution_20260712/spine_reconstruction_torch251_recovery/audio/dev_0189/candidate_07_seed2026241707.wav,de85e816d8414abc23d4618d8fefc81e5aa09ffd27dacb93835385f12bc7ce82,instrumental,0,3.6238247957953718e-06,0.021608803421258926,0,0.49072844749130595,spine,instrumental_and_promoted_OR_score_ratio_below_0p5,1,149,0.2684563758389262,6,1,6
held_out_0114__cand05,da062c1fcfca9b9f8f2332e0,held_out_0114,5,2026422705,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/paper_prep/w2_execution_20260712/spine_reconstruction_torch251_recovery/audio/held_out_0114/candidate_05_seed2026422705.wav,b86f36affacba1a22b0bdef9c44efa6fbc096be27a8f3a9cb94d69d743abe5e5,instrumental,0,1.9582903405535035e-06,0.014125274494290352,0,0.32078009540094227,spine,instrumental_and_promoted_OR_score_ratio_below_0p5,1,149,0.2684563758389262,7,1,7
dev_0242__cand07,d04755cf99884c0c53c18618,dev_0242,7,2026294707,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/paper_prep/w2_execution_20260712/spine_reconstruction_torch251_recovery/audio/dev_0242/candidate_07_seed2026294707.wav,677c5f28ee86b839705dfa43ace507372ae93209f5bd45bbe70ae0f08c3fab9e,instrumental,0,1.8624143649503822e-06,0.021245239302515984,0,0.48247203217407714,spine,instrumental_and_promoted_OR_score_ratio_below_0p5,1,149,0.2684563758389262,8,1,8
held_out_0000__cand03,c8ea5474378c6a8cc6649350,held_out_0000,3,2026308703,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/paper_prep/w2_execution_20260712/spine_reconstruction_torch251_recovery/audio/held_out_0000/candidate_03_seed2026308703.wav,3d74bfba63efda9475d20ed70103fddc2bb00f768cb6f998ad690643dfd23e17,instrumental,0,2.149346073565539e-06,0.015376441180706024,0,0.3491936578554724,spine,instrumental_and_promoted_OR_score_ratio_below_0p5,1,149,0.2684563758389262,9,1,9
dev_0103__cand07,a47fa27889811d1a69eb0679,dev_0103,7,2026155707,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/paper_prep/w2_execution_20260712/spine_reconstruction_torch251_recovery/audio/dev_0103/candidate_07_seed2026155707.wav,6a90cab7fc4c5b63864f60f379baf129fa9ca39dc6dd61cfaf23a1698cb8a673,instrumental,0,0.0002938884135801345,0.011619229800999165,0,0.26386868768862376,spine,instrumental_and_promoted_OR_score_ratio_below_0p5,1,149,0.2684563758389262,10,1,10
