rating_id,media_path,request_type,label_a_voice_presence,perceived_vocal_type,vocal_extent,label_b_constraint,confidence_1_to_5,rating_source,notes
decisive_01_6c137151640e,media/decisive_01_6c137151640e.flac,vocal,,,,,,,
decisive_02_9643022ddbf6,media/decisive_02_9643022ddbf6.flac,vocal,,,,,,,
decisive_03_274ef1cb38b6,media/decisive_03_274ef1cb38b6.flac,vocal,,,,,,,
decisive_04_a5f338f1ce29,media/decisive_04_a5f338f1ce29.flac,vocal,,,,,,,
decisive_05_74e8e1d035d2,media/decisive_05_74e8e1d035d2.wav,vocal,,,,,,,
decisive_06_46b6240897e0,media/decisive_06_46b6240897e0.flac,vocal,,,,,,,
decisive_07_df9c1a8daced,media/decisive_07_df9c1a8daced.flac,vocal,,,,,,,
decisive_08_bdd3c4f3fe05,media/decisive_08_bdd3c4f3fe05.flac,instrumental,,,,,,,
decisive_09_91f361499026,media/decisive_09_91f361499026.wav,vocal,,,,,,,
decisive_10_76cccbd6e601,media/decisive_10_76cccbd6e601.flac,vocal,,,,,,,
decisive_11_a8223b360df8,media/decisive_11_a8223b360df8.flac,vocal,,,,,,,
decisive_12_f399470c98da,media/decisive_12_f399470c98da.flac,instrumental,,,,,,,
decisive_13_b3a352f3258a,media/decisive_13_b3a352f3258a.flac,vocal,,,,,,,
decisive_14_e7a8cf805731,media/decisive_14_e7a8cf805731.wav,vocal,,,,,,,
decisive_15_cc2eb6bbefa7,media/decisive_15_cc2eb6bbefa7.wav,vocal,,,,,,,
decisive_16_70313a930f10,media/decisive_16_70313a930f10.flac,vocal,,,,,,,
decisive_17_4217d6b8e4a2,media/decisive_17_4217d6b8e4a2.wav,instrumental,,,,,,,
decisive_18_58bcda73b66c,media/decisive_18_58bcda73b66c.flac,instrumental,,,,,,,
decisive_19_5aece195065b,media/decisive_19_5aece195065b.flac,vocal,,,,,,,
decisive_20_915b8df08b53,media/decisive_20_915b8df08b53.flac,vocal,,,,,,,
decisive_21_61e688012e92,media/decisive_21_61e688012e92.flac,vocal,,,,,,,
decisive_22_92b51bc2af21,media/decisive_22_92b51bc2af21.flac,vocal,,,,,,,
decisive_23_ac24af32778a,media/decisive_23_ac24af32778a.flac,instrumental,,,,,,,
decisive_24_5b448e7609f2,media/decisive_24_5b448e7609f2.flac,instrumental,,,,,,,
decisive_25_4bcd77594bb5,media/decisive_25_4bcd77594bb5.flac,vocal,,,,,,,
decisive_26_b0bad4f5e44c,media/decisive_26_b0bad4f5e44c.flac,vocal,,,,,,,
decisive_27_33595c7a116c,media/decisive_27_33595c7a116c.flac,vocal,,,,,,,
decisive_28_aa1162750fbc,media/decisive_28_aa1162750fbc.flac,vocal,,,,,,,
decisive_29_47807785883b,media/decisive_29_47807785883b.flac,vocal,,,,,,,
decisive_30_691445ce4637,media/decisive_30_691445ce4637.flac,instrumental,,,,,,,
decisive_31_c3007809e1c6,media/decisive_31_c3007809e1c6.flac,vocal,,,,,,,
decisive_32_98b71b8decb6,media/decisive_32_98b71b8decb6.flac,instrumental,,,,,,,
decisive_33_f89abdb85619,media/decisive_33_f89abdb85619.flac,vocal,,,,,,,
decisive_34_312c23ae47f7,media/decisive_34_312c23ae47f7.flac,instrumental,,,,,,,
decisive_35_3ab3b787b59e,media/decisive_35_3ab3b787b59e.flac,vocal,,,,,,,
decisive_36_91578aa38188,media/decisive_36_91578aa38188.flac,vocal,,,,,,,
decisive_37_5fb94c546f40,media/decisive_37_5fb94c546f40.flac,instrumental,,,,,,,
decisive_38_217a8f3c70ce,media/decisive_38_217a8f3c70ce.flac,vocal,,,,,,,
decisive_39_42b8a906ac1a,media/decisive_39_42b8a906ac1a.flac,instrumental,,,,,,,
decisive_40_2fbec10d8a00,media/decisive_40_2fbec10d8a00.flac,vocal,,,,,,,
decisive_41_7a990e1f2d05,media/decisive_41_7a990e1f2d05.flac,instrumental,,,,,,,
decisive_42_1108911c47cd,media/decisive_42_1108911c47cd.wav,instrumental,,,,,,,
