clip_id,clip_path,true_label,provenance
10b5a4a982,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0437_f520ccdf1cae.wav,yes,CXY;adjudication;legacy_pre_amendment;original_media;single_rater
14b128eef4,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0509_0b45d7de17e5.wav,yes,CXY;adjudication;legacy_pre_amendment;original_media;single_rater
17c9c14d1f,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0502_95ced68c584f.wav,yes,CXY;adjudication;legacy_pre_amendment;original_media;single_rater
1d950f946a,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0210_a1d0917b9271.wav,yes,CXY;adjudication;legacy_pre_amendment;original_media;single_rater
20ba693c1f,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0049_e0aac6d99ffa.wav,yes,CXY;adjudication;legacy_pre_amendment;original_media;single_rater
232468ea31,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0069_58b473a79c94.wav,yes,CXY;adjudication;legacy_pre_amendment;original_media;single_rater
30999be08d,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0099_659447258733.wav,yes,CXY;adjudication;legacy_pre_amendment;original_media;single_rater
38b86373e6,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0066_863db45703ed.wav,no,CXY;adjudication;legacy_pre_amendment;original_media;single_rater
3c349740ba,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0201_c50b8689821f.wav,yes,CXY;adjudication;legacy_pre_amendment;original_media;single_rater
51f074892f,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0033_1fa2a7ff3d3b.wav,yes,CXY;adjudication;legacy_pre_amendment;original_media;single_rater
