prompt_id,arm1_mean,arm6_mean,delta_arm6_minus_arm1,n_arm1,n_arm6
held_out_0000,0.35823898017406464,0.39472513645887375,0.03648615628480911,2,2
held_out_0001,0.5087864696979523,0.4723040349781513,-0.03648243471980095,2,8
held_out_0002,0.28232453763484955,0.12721774354577065,-0.1551067940890789,2,2
held_out_0003,0.18874739110469818,0.261639304459095,0.07289191335439682,2,2
held_out_0004,0.4463621973991394,0.4227995127439499,-0.023562684655189514,2,2
held_out_0005,0.4006124436855316,0.4130014479160309,0.012389004230499268,2,2
held_out_0006,0.319228857755661,0.3113363981246948,-0.007892459630966187,2,2
held_out_0007,0.2315884232521057,0.295242503285408,0.06365408003330231,2,2
held_out_0008,0.301766703526179,0.19656828960234468,-0.10519841392383433,3,11
held_out_0009,0.5841724276542664,0.6125931441783905,0.028420716524124146,2,2
held_out_0010,0.5620902478694916,0.5555404275655746,-0.006549820303916931,2,2
held_out_0011,0.05711035616695881,0.12140114232897758,0.06429078616201878,2,2
held_out_0012,0.28351183235645294,0.3157503232359886,0.032238490879535675,2,2
held_out_0013,0.28723856806755066,0.4243946075439453,0.13715603947639465,2,2
held_out_0014,0.4109993577003479,0.31994226574897766,-0.09105709195137024,2,2
held_out_0015,0.32371553033590317,0.32295872271060944,-0.0007568076252937317,2,2
held_out_0016,0.4326925426721573,0.3523476868867874,-0.08034485578536987,2,12
held_out_0017,0.4760199785232544,0.34820564919047886,-0.12781432933277553,2,9
held_out_0018,0.26662416011095047,0.30890315771102905,0.04227899760007858,2,2
held_out_0019,0.4813234359025955,0.4593241810798645,-0.021999254822731018,2,2
held_out_0020,0.4708724617958069,0.46934057772159576,-0.0015318840742111206,2,2
held_out_0021,0.4493014067411423,0.4311565369367599,-0.018144869804382346,2,10
held_out_0022,0.39520080387592316,0.34868939965963364,-0.04651140421628952,2,2
held_out_0023,0.20670991390943527,0.1529963333159685,-0.05371358059346676,2,2
held_out_0024,0.3976377993822098,0.35240033600065446,-0.04523746338155532,2,9
held_out_0025,0.23324530571699142,0.431068480014801,0.1978231742978096,2,2
held_out_0026,0.28623414039611816,0.42763733863830566,0.1414031982421875,2,2
held_out_0027,0.31231486797332764,0.2868555635213852,-0.025459304451942444,2,2
held_out_0028,0.35772059857845306,0.3115284740924835,-0.04619212448596954,2,2
held_out_0029,0.2515845447778702,0.37552905082702637,0.12394450604915619,2,2
held_out_0030,0.5281731933355331,0.5585294961929321,0.030356302857398987,2,2
held_out_0031,0.42494402825832367,0.40035930275917053,-0.024584725499153137,2,2
held_out_0032,0.37419185042381287,0.3756847232580185,0.0014928728342056274,2,2
held_out_0033,0.1581423357129097,0.1140979714691639,-0.044044364243745804,2,2
held_out_0034,0.43169037997722626,0.31533651053905487,-0.11635386943817139,2,2
held_out_0035,0.5004310548305512,0.4810776114463806,-0.019353443384170554,5,6
held_out_0036,0.4142957925796509,0.44155487418174744,0.027259081602096558,2,2
held_out_0037,0.16986040025949478,0.45850932598114014,0.28864892572164536,2,2
held_out_0038,0.4764617681503296,0.46680721640586853,-0.00965455174446106,2,2
held_out_0039,0.46138839423656464,0.46167637407779694,0.0002879798412322998,2,2
held_out_0040,0.3163919225335121,0.38766421377658844,0.07127229124307632,2,2
held_out_0041,0.2919878239432971,0.36265922089417774,0.07067139695088065,6,9
held_out_0042,0.3000522702932358,0.2295847162604332,-0.07046755403280258,2,2
held_out_0043,0.2056400626897812,0.20279212958282894,-0.0028479331069522495,5,9
