clip_path,true_label,rating_source,confidence,audio_sha256,source_package,source_rating_ids,clip_id,duplicate_presentations,split
orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0626_2ef9235a4c99.wav,yes,pi:Richard,5,00256dce79884623cf351159fdff3846b5156c07f27fae8da0d2580e3be78874,t2_aprime_core,aprime_0626_2ef9235a4c99,pi_gold_00256dce79884623,1,heldout
orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0030_61dd0835fc9a.flac,yes,pi:Richard,5,02e4a6a3460f81e839b3633336946ecf99bc9e815c33b70ab102959f6b26933c,t2_aprime_core,aprime_0030_61dd0835fc9a;aprime_0590_0e185a20ef58,pi_gold_02e4a6a3460f81e8,2,heldout
orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0331_f1ff243304fe.wav,no,pi:Richard,5,08c122e817eb4f5a6b0d5404a53a70eed6de966e2e73c993c2f31a453a914897,t2_aprime_core,aprime_0331_f1ff243304fe,pi_gold_08c122e817eb4f5a,1,heldout
orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0211_50059199e23a.wav,yes,pi:Richard,5,0a9bae949406f1817ee5d08463491fe337e21acb08c302ef69a7915e17e0cdbb,t2_aprime_core,aprime_0211_50059199e23a,pi_gold_0a9bae949406f181,1,heldout
orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0478_b5689521556c.flac,yes,pi:Richard,5,0c0739c380bbc4d7824e3dd4248d47330831738b27352ac349ec34bbb7e03ed7,t2_aprime_core,aprime_0478_b5689521556c,pi_gold_0c0739c380bbc4d7,1,heldout
orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0534_77fb5f4d206c.wav,yes,pi:Richard,5,0d688cc6156526a8e47fd846efb2652941ee2cf2191395561448d641d1710d40,t2_aprime_core,aprime_0534_77fb5f4d206c,pi_gold_0d688cc6156526a8,1,heldout
orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0210_a1d0917b9271.wav,yes,pi:Richard,5,166ddb24d974600483d9fc3898058760bd29cd0273827dbe6845f9c79e5e0f42,t2_aprime_core,aprime_0210_a1d0917b9271,pi_gold_166ddb24d9746004,1,heldout
orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0045_5a7b34ed6e73.wav,yes,pi:Richard,5,17e8a988541c1e161cc1911b7a3ed44534d933036b3a7a9ae80ba75d057a3944,t2_aprime_core,aprime_0045_5a7b34ed6e73,pi_gold_17e8a988541c1e16,1,heldout
orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0148_6322db97e0dc.wav,yes,pi:Richard,3,183882d1edd62895796a1d92ddb201b4ac314997a44ecda5e6639fee68b54e6a,t2_aprime_core,aprime_0148_6322db97e0dc,pi_gold_183882d1edd62895,1,heldout
orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0621_58e54051eb54.flac,yes,pi:Richard,5,18933db51229a66f12f3faf8731b7ae191e6fbc71767e3682a6a34f8496fa5b4,t2_aprime_core,aprime_0621_58e54051eb54,pi_gold_18933db51229a66f,1,heldout
orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0680_4345318d0dab.wav,yes,pi:Richard,5,1cd5b61da842c9d34bff0c1a3d617243beadb5de785b258c3f07e24d7aef6349,t2_aprime_core,aprime_0680_4345318d0dab,pi_gold_1cd5b61da842c9d3,1,heldout
orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0089_0605fcbde128.wav,yes,pi:Richard,5,1de2639cd4f53689e52f78d6ff835d481a53c02c0272c03ccf37d276c2fcf4ea,t2_aprime_core,aprime_0089_0605fcbde128,pi_gold_1de2639cd4f53689,1,heldout
orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0480_dde3d7023a12.wav,yes,pi:Richard,5,22c025e2c749fba285564867961cbb2bb0fde468bcd32a85efdb881bc7f5a5d9,t2_aprime_core,aprime_0480_dde3d7023a12,pi_gold_22c025e2c749fba2,1,heldout
orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0528_0dbe28d0086c.wav,yes,pi:Richard,5,24e13afd71e9f24f756fdec34e7cad3582202a39170a6dcb77c8f6d31bbdc34d,t2_aprime_core,aprime_0528_0dbe28d0086c,pi_gold_24e13afd71e9f24f,1,heldout
