clip_path,true_label,rating_source,confidence,audio_sha256,source_package,source_rating_ids,clip_id,duplicate_presentations
orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0626_2ef9235a4c99.wav,yes,pi:Richard,5,00256dce79884623cf351159fdff3846b5156c07f27fae8da0d2580e3be78874,t2_aprime_core,aprime_0626_2ef9235a4c99,pi_gold_00256dce79884623,1
orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0503_7bde6b74b0bd.wav,yes,pi:Richard,5,003c4b10dd3fa9561bf00c925d65932a05e67b1e01f130abe7e42d849986c5a5,t2_aprime_core,aprime_0503_7bde6b74b0bd,pi_gold_003c4b10dd3fa956,1
orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0030_61dd0835fc9a.flac,yes,pi:Richard,5,02e4a6a3460f81e839b3633336946ecf99bc9e815c33b70ab102959f6b26933c,t2_aprime_core,aprime_0030_61dd0835fc9a;aprime_0590_0e185a20ef58,pi_gold_02e4a6a3460f81e8,2
orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0018_39e73630f43c.wav,yes,pi:Richard,5,03218a661dbd0e39bf636b07c2e99438464c9c884cee01cc0c48bb4ecea95014,t2_aprime_core,aprime_0018_39e73630f43c,pi_gold_03218a661dbd0e39,1
orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0331_f1ff243304fe.wav,no,pi:Richard,5,08c122e817eb4f5a6b0d5404a53a70eed6de966e2e73c993c2f31a453a914897,t2_aprime_core,aprime_0331_f1ff243304fe,pi_gold_08c122e817eb4f5a,1
orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0211_50059199e23a.wav,yes,pi:Richard,5,0a9bae949406f1817ee5d08463491fe337e21acb08c302ef69a7915e17e0cdbb,t2_aprime_core,aprime_0211_50059199e23a,pi_gold_0a9bae949406f181,1
orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0292_7f0236a459a4.wav,yes,pi:Richard,5,0be1568604438fe5a1c22fb8d55f80915bfcdc806dfa719d9f56d70b458262f1,t2_aprime_core,aprime_0292_7f0236a459a4,pi_gold_0be1568604438fe5,1
orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0478_b5689521556c.flac,yes,pi:Richard,5,0c0739c380bbc4d7824e3dd4248d47330831738b27352ac349ec34bbb7e03ed7,t2_aprime_core,aprime_0478_b5689521556c,pi_gold_0c0739c380bbc4d7,1
orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0437_f520ccdf1cae.wav,yes,pi:Richard,5,0c83890a55f7b6af78e225aab5f9cd2f438fc506986cbc49f5a95fbb3b435f28,t2_aprime_core,aprime_0437_f520ccdf1cae,pi_gold_0c83890a55f7b6af,1
orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0534_77fb5f4d206c.wav,yes,pi:Richard,5,0d688cc6156526a8e47fd846efb2652941ee2cf2191395561448d641d1710d40,t2_aprime_core,aprime_0534_77fb5f4d206c,pi_gold_0d688cc6156526a8,1
orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0228_821d00820017.wav,yes,pi:Richard,5,15161bf19ca3ca49a751fa49fa9550eacf7908345f0c98de84bebdc54b8e33ce,t2_aprime_core,aprime_0228_821d00820017,pi_gold_15161bf19ca3ca49,1
orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0210_a1d0917b9271.wav,yes,pi:Richard,5,166ddb24d974600483d9fc3898058760bd29cd0273827dbe6845f9c79e5e0f42,t2_aprime_core,aprime_0210_a1d0917b9271,pi_gold_166ddb24d9746004,1
orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0582_8d2153d7e3aa.flac,yes,pi:Richard,5,16efe2d3dcc4b7dff1fd0782303ad4c77fbe81bb0220e22f7f6450f74d6a7d83,t2_aprime_core,aprime_0582_8d2153d7e3aa,pi_gold_16efe2d3dcc4b7df,1
orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0045_5a7b34ed6e73.wav,yes,pi:Richard,5,17e8a988541c1e161cc1911b7a3ed44534d933036b3a7a9ae80ba75d057a3944,t2_aprime_core,aprime_0045_5a7b34ed6e73,pi_gold_17e8a988541c1e16,1
orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0663_d40cba210a01.wav,yes,pi:Richard,5,181c0377746360d5ed6cc33ebadedafdf704bc3cd763b7f0e765ed4673f429c6,t2_aprime_core,aprime_0663_d40cba210a01,pi_gold_181c0377746360d5,1
orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0148_6322db97e0dc.wav,yes,pi:Richard,3,183882d1edd62895796a1d92ddb201b4ac314997a44ecda5e6639fee68b54e6a,t2_aprime_core,aprime_0148_6322db97e0dc,pi_gold_183882d1edd62895,1
